,BinaryName,RA,DEC
111,LL Aqr,22.578375722222223 ,-3.599492777777778 
112,EF Aqr,23.021970166666666 ,-6.437599166666667 
113,V1031 Ori,5.79080275 ,-10.532946666666668 
114,PV Pup,7.7579825 ,-14.686162222222222 
115,VV Crv,12.687764166666668 ,-13.013897222222223 
116,DM Vir,14.13123013888889 ,-11.152076666666668 
117,GZ CMa,7.272001444444444 ,-16.7166875 
118,SW CMa,7.137565861111112 ,-22.44034638888889 
119,HW CMa,7.1394063333333335 ,-22.408306666666665 
120,ASAS J082552-1622.8,8.431001499999999 ,-16.3798325 
121,VV Pyx,8.459245999999998 ,-20.844025 
122,HS Hya,10.410213083333334 ,-19.092488055555556 
123,BW Aqr,22.387758444444444 ,-15.332278055555555 
124,AK For,3.489687527777778 ,-24.10086 
125,chi2 Hya,11.099325027777779 ,-27.287852222222224 
126,ASAS J180057-2333.8,18.01585227777778 ,-23.561640555555556 
127,V3903 Sgr,18.15491672222222 ,-23.988397777777777 
128,TZ For,3.2444701944444443 ,-35.55766527777777 
129,V760 Sco,16.412144055555554 ,-34.89375972222222 
130,V906 Sco,17.898548805555556 ,-34.752745833333336 
131,V1647 Sgr,17.98707513888889 ,-36.93884472222222 
132,V4403 Sgr,18.703186388888888 ,-34.04031388888889 
133,HD 187669,19.872802166666666 ,-32.56103944444444 
134,PT Vel,9.182699999999999 ,-43.26747888888889 
135,psi Cen,14.342620583333334 ,-37.88529527777778 
136,GG Lup,15.315659944444445 ,-40.78822222222222 
137,V4089 Sgr,19.569023916666666 ,-40.034640555555555 
138,AI Phe,1.1594978888888887 ,-46.26557611111111 
139,V467 Vel,8.730501361111111 ,-46.11909888888889 
140,CV Vel,9.010553 ,-51.55557333333333 
141,V636 Cen,14.282753222222222 ,-49.945101666666666 
142,TV Nor,16.069234916666666 ,-51.54447333333333 
143,zeta Phe,1.1397453333333334 ,-55.24575166666667 
144,QX Car,9.909412277777777 ,-58.42127 
145,GV Car,11.092468777777778 ,-58.73051111111111 
146,EP Cru,12.621319111111111 ,-56.7881675 
147,SZ Cen,13.843081305555556 ,-58.49919416666667 
148,V539 Ara,17.841220083333333 ,-53.612406666666665 
149,BG Ind,21.975011249999998 ,-59.01208138888889 
150,V392 Car,7.969576888888889 ,-60.865946944444445 
151,DW Car,10.719467111111111 ,-60.03659527777778 
152,EM Car,11.201251638888888 ,-61.09526138888889 
153,V349 Ara,16.656280527777778 ,-60.96169861111112 
154,UX Men,5.5008851666666665 ,-76.24870833333334 
155,RS Cha,8.720054944444444 ,-79.07010166666666 
156,RZ Cha,10.706696805555556 ,-82.03727305555556 
157,TZ Men,5.503856833333334 ,-84.7851011111111 
