binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
TZ For,5047189109469319680,48.6672354369718,0.01728343276561467,-35.55759038509651,0.02244391699025957,5.453730741199864,0.026300734426790314,6.667539,4.0581737248256855E7,10208.27831326909,7.0819163,2.0313682879576236E7,32747.146725055234,6.142456,2.804048669191735E7,55656.21809229887,5.488,0.02,5.129,0.024,4.996,0.029,,,,,,,,,,,,,,,,,,
chi2 Hya,3532312225289255040,166.49004167261725,0.06885697403061211,-27.28792450768372,0.06415910269549063,4.603180231995486,0.09489452718144924,5.683987,1.0040411107247698E8,381189.0128605932,5.7032976,7.231630218956536E7,1047727.0430096459,5.7326946,4.0896869055549644E7,456028.9583683973,5.742,0.021,5.784,0.038,5.765,0.017,,,,,,,,,,,,,,,,,,
PV Pup,3029552115358950528,116.36969355774754,0.030577045805283854,-14.686247732963958,0.02647823034702737,11.601706139301253,0.04438837654612801,6.7884836,3.630386143500824E7,49971.14316496444,6.979968,2.2313521909167547E7,123550.69835907065,6.5274944,1.9668454148684554E7,82093.42455205967,6.574,0.018,6.419,0.029,6.404,0.029,,,,,,,,,,,,,,,,,,
V1031 Ori,3011007889677269888,86.86200693359751,0.586689256804934,-10.53302935432078,0.5454174233502038,2.189777443902485,0.6359099231889164,6.009623,7.438700352502695E7,215501.43831923668,6.105596,4.992485360877711E7,492284.26651835185,5.916364,3.453204312904322E7,551075.8116180474,5.716,0.018,5.681,0.053,5.633,0.024,,,,,,,,,,,,,,,,,,
CoRoT 102918586,3107179766581693696,102.22627421722017,0.03728109423677412,-0.8730281275277676,0.03786154988438718,0.8671237515793819,0.044494443500582924,12.336852,219081.3132178703,83.15789248282935,12.556965,131150.28166605506,160.08414011764515,11.980342,129607.87568608078,239.84564305016704,11.567,0.028,11.454,0.027,11.331,0.023,,,,,,,,,12.3050003051758,,12.2510004043579,,12.2700004577637,,12.2790002822876,,12.3306999206543,0.00619000010192394
PV Cas,2013679340674718208,347.51070835618344,0.02722109552452213,59.20168723487873,0.02918063128003716,1.362482951190622,0.03759596667925666,9.699891,2485363.6967142606,1390.6689524669366,9.809251,1647611.5469743223,6738.190162044246,9.5448065,1221365.2157087922,1614.8857336728656,9.324,0.021,9.341,0.018,9.295,0.031,,,,,,,,,,,,,,,,,,
1SWASP J093010.78+533859.5,1019985085615356672,142.5447582019582,1.0242206840597332,53.64992138060592,1.1222108305547223,23.56221157819086,1.3138189594638623,9.500966,2985106.1991643948,2826.983534546152,10.04483,1326242.9075979874,7849.134077952759,8.80154,2421876.5790702305,24005.590285979953,,,,,,,,,,,,,,,,,,,,,,,,
RR Lyn,997809280404484480,96.60744905897374,0.1364100731815415,56.28519039301894,0.1392320085155148,12.294286498890912,0.1546239202462323,5.469628,1.223193286587659E8,157166.17242300487,5.6057215,7.911643373041129E7,116271.93841499774,5.305109,6.0635152951159656E7,169554.86390670497,5.471,0.29,5.066,0.02,4.993,0.016,,,,,,,,,,,,,,,,,,
V505 Per,455772347387763840,35.30432884877646,0.0200292238863334,54.510062003319256,0.027747807824373718,15.97038697451183,0.03878932419570614,6.7415566,3.7907361266202986E7,7786.904671067371,6.982072,2.2270326923533186E7,12974.420445432943,6.3996177,2.2126917787091505E7,17794.230518085933,6.07,0.067,5.793,0.036,5.771,0.02,,,,,,,,,,,,,,,,,,
KIC 9246715,2082288144698194944,300.9513572072175,0.023088004943119442,45.60411606602542,0.025987837919292583,1.623847647437065,0.02860354961728844,9.2779455,3665792.8398714378,1203.1433038085167,9.856678,1577190.0932285953,2144.799439659853,8.594234,2931392.8790371865,4064.0829327626193,7.679,0.018,7.208,0.02,7.085,0.024,,,,,,,,,,,,,,,,,,
V342 And,386917424557512320,2.513398218666027,0.0482981945713863,46.390257691728245,0.030363000263434293,6.294266138104204,0.05428036115117544,7.782438,1.45335337889871E7,4352.96466403989,7.875996,9775902.790286709,9047.199839623485,7.655088,6961980.864369833,7784.809746986004,7.362,0.034,7.269,0.031,7.245,0.027,,,,,,,,,,,,,,,,,,
V380 Cyg,2073743839843579776,297.65551057522265,0.0719682521979439,40.59972506473762,0.08443032364910381,0.9417389350456754,0.09210667228384416,5.6319346,1.0533491607160251E8,218971.34776630544,5.6103888,7.877704242409518E7,455139.7133456917,5.67235,4.323426245247254E7,284948.1750730456,5.712,0.02,5.757,0.027,5.769,0.026,,,,,,,,,,,,,,,,,,
beta Aur,196656661174768512,89.88182329162628,1.1927227064387067,44.94743204476693,0.7647279016346133,,,1.7141398,3.887678761209498E9,3.575340607434558E7,5.1343517,1.2212778786011812E8,8.257384884390934E7,2.3981845,8.820520164491348E8,2.7731736915050004E7,1.756,0.222,1.76,0.168,1.778,0.19,,,,,,,,,,,,,,,,,,
CG Cyg,1866704219781935360,314.55609027616043,0.021318662084482805,35.174849350917874,0.049505149598744205,10.260844353405021,0.034364094888788284,10.080814,1749928.7878164197,10424.093624573632,10.4599085,904882.1737262862,19340.162150387707,9.351181,1459807.335501038,41170.50952085118,8.353,0.019,7.896,0.023,7.747,0.021,,,,,,,,,,,,,,,,,,
KX Cnc,709910784966516992,130.69238438079432,0.036247427428791786,31.862421574186094,0.02363616574429555,20.281721502752482,0.05050950867574769,7.036321,2.889467155470092E7,5067.550604459808,7.3544407,1.5804438473629352E7,13601.909527807453,6.604437,1.8322856508703016E7,22012.552207381825,6.509,0.021,6.278,0.027,6.213,0.018,,,,,,,,,,,,,,,,,,
U Oph,4386731922277625344,259.13213415036086,0.09307421834030827,1.210499088711539,0.08162847163745218,3.7431827540134393,0.13072892250851542,5.866255,8.488763589617161E7,237479.86242596293,5.903025,6.016517579213361E7,492957.39368686447,5.785827,3.894369341222273E7,173070.884656922,5.656,0.02,5.72,0.044,5.739,0.027,,,,,,,,,,,,,,,,,,
V578 Mon,3131334452194616192,98.002524334317,0.1208981381419389,4.878026364948468,0.10731234366593809,0.5323811715552986,0.15787279618245628,8.518757,7376384.670660245,25327.05686451744,8.58898,5069480.66780229,14995.744564004941,8.349315,3673177.820403715,51808.589559019,8.152,0.024,8.125,0.034,8.12,0.024,,,,,,,,,,,,,,,,,,
V1130 Tau,3270203565354460032,57.6747175565413,0.03454015532131723,1.56395412559266,0.024666391472950657,14.25517757456021,0.04279256210775405,6.5602856,4.479526425931678E7,247391.8648239347,6.831314,2.5587599367535517E7,463988.8121586556,6.243266,2.5554160910696525E7,426762.2083033618,5.755,0.024,5.596,0.031,5.505,0.024,,,,,,,,,,,,,,,,,,
