binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
V501 Mon,3107300364962651520,100.17385758066301,0.040247310043865274,-1.1111316294872406,0.04383666856947321,1.020456944911192,0.04627676900375689,12.188422,251175.5299744509,56.25432787401768,12.476415,141250.25566168124,143.17686506460396,11.750033,160234.04372221802,128.3363204719485,11.256,0.026,11.073,0.026,10.982,0.023,10.986,0.023,11.012,0.022,11.014,0.116,8.62,,12.5430002212524,,12.3070001602173,,12.1960000991821,,12.0880002975464,,12.0717000961304,0.00505399983376265
HY Vir,3684484600212307712,197.12459947193892,0.06011952610737637,-2.678902291516729,0.03453050441158677,5.484073101218413,0.0683519345929876,7.7317348,1.5228333346074168E7,8781.893041217574,7.9500737,9131156.58154551,22677.39691447088,7.4242654,8611161.9309898,38538.58156391994,7.097,0.024,6.914,0.042,6.874,0.029,6.906,0.062,6.902,0.021,6.94,0.016,6.95,0.107,,,,,,,,,,
FS Mon,3058619972980156032,111.17629269201144,0.034970335978811155,-5.154103052599069,0.03308350017796642,2.9498948056013163,0.04072465159264616,9.508545,2964342.5920997034,3698.4076314905915,9.726771,1777651.889855262,5981.5604557156485,9.180641,1708093.5870269223,5262.659090689,8.826,0.02,8.651,0.04,8.656,0.023,8.602,0.023,8.621,0.02,8.662,0.028,8.631,,,,,,,,,,,
EG Ser,4270494022591579776,276.5091315422728,0.06203760651045741,-1.6810007098332858,0.06693782238421514,4.287937855813203,0.08236681974404421,8.198031,9911373.750840683,5511.815787333685,8.301053,6608971.435898149,28762.110746993014,7.97786,5171589.517058287,6214.5333847117845,7.673,0.024,7.671,0.031,7.588,0.026,7.547,0.026,7.58,0.02,7.661,0.018,7.623,0.212,,,,,,,,,,
V413 Ser,4272605845129174016,278.78423467334335,1.5497856274788135,0.042975304423932895,1.6496032262999447,,,7.701976,1.5651497140643816E7,26038.84994133618,8.146217,7621992.225953576,51896.946929327816,7.1169724,1.1428229209195545E7,115802.85024519326,6.389,0.021,6.27,0.038,6.11,0.017,6.184,0.085,6.007,0.037,5.661,0.014,3.505,0.029,,,,,,,,,,
CoRoT 105906206,4285511942679584512,280.82064031933555,0.03984274629617828,5.966711943585242,0.044845331488551625,0.9901094785789986,0.050698105121369984,11.717471,387576.99649837834,1284.723444119572,12.137273,193039.45821062825,1953.977761907738,11.137684,281640.00386142335,2674.9366847701635,10.393,0.023,10.188,0.023,10.073,0.021,10.066,0.024,10.08,0.02,9.923,0.057,8.61,,,,,,,,,,,
IO Aqr,4231287675625475840,310.1894380570093,0.02802529715975856,0.939060573412595,0.02350791844824384,3.915479483829286,0.035169359964459496,8.693375,6280532.310664366,7644.497146623922,8.970088,3568782.3747364967,11986.740026064484,8.290912,3876173.5354807293,12563.750325397687,7.83,0.029,7.646,0.024,7.555,0.033,7.53,0.032,7.593,0.02,7.613,0.02,7.556,0.179,,,,,,,,,,
GG Ori,3218981269985120384,85.79260978442196,0.035136511092257926,-0.6874530930485014,0.038626234470101536,2.1382573828803544,0.04725038898325215,10.237154,1515251.1083602349,634.6374340085421,10.559262,825753.5317790906,707.5435445958958,9.767916,994493.223460646,1358.1494955717112,9.465,0.023,9.323,0.022,9.212,0.021,8.827,0.022,8.836,0.02,8.804,0.034,7.921,0.208,,,,,,,,,,
XY Cet,2015099871749760,44.889726265069925,0.04864827437983341,3.5175463824742006,0.04265313425331741,3.3820300153305523,0.057852526005448025,8.68511,6328520.301633368,5440.672161785238,8.829826,4060921.058661805,11442.471789421868,8.483343,3246616.0317194127,9375.08084601627,8.212,0.023,8.194,0.031,8.115,0.021,8.12,0.022,8.157,0.019,8.173,0.023,7.879,0.219,,,,,,,,,,
V1388 Ori,3342421035256268544,92.74651746879289,0.06777034416350512,11.99485082001937,0.06951302401459862,1.2811576837058405,0.08227081366363001,7.410427,2.0472716310974278E7,44162.54559448568,7.401098,1.5139661690718321E7,117979.50281294668,7.4664054,8283347.733539564,94780.77230395339,7.506,0.024,7.541,0.027,7.551,0.034,7.622,0.031,7.661,0.019,7.709,0.019,7.31,0.115,,,,,,,,,,
